SampleID,Az_true,El_true,AzSector,ElSector,Sector,MUSIC_Az,MUSIC_El,GCC_Angle,ILD_dB,RMS_mean,FFT_PeakFreq,SpecEntropyNorm
38,-83.8456991235989,37.5733511993398,Az_-90to-80,El_30to40,Az_-90to-80_El_30to40,-84,37,37.5303823417514,0.0119466328612061-5.92378286309871i,0.315337517830369+3.5821003475326e-05i,996.26953125,0.738916500968497
39,-86.4629794406438,38.4848140010754,Az_-90to-80,El_30to40,Az_-90to-80_El_30to40,-86,39,38.5420570552963,-0.00868803107826148-5.97078602171938i,0.309903738591761+1.06134588856964e-05i,1622.16796875,0.738540542152243
40,-83.1212279078831,30.4044068607193,Az_-90to-80,El_30to40,Az_-90to-80_El_30to40,-86,32,30.4141720883133,0.00261462699732562-5.71596703036404i,0.299554216235957-7.50614143912934e-05i,1785.8203125,0.740293208717599
41,-84.7410850795214,42.2211858778175,Az_-90to-80,El_40to50,Az_-90to-80_El_40to50,-86,42,42.1854276381047,-0.00937710623152016-5.47968636455857i,0.30766927723001-1.41487457927976e-05i,1297.734375,0.741603965273331
42,-85.2595806314828,42.9149272335089,Az_-90to-80,El_40to50,Az_-90to-80_El_40to50,-85,-42,42.9524057377235,-0.0144675902956138-5.99512076520456i,0.309886059677654+7.48657275401778e-05i,815.390625,0.73747051635541
43,-83.1249891814808,42.3352630298123,Az_-90to-80,El_40to50,Az_-90to-80_El_40to50,-83,43,42.3935947407206,0.00211563106073133-5.19969014658i,0.324630156570165-9.33243625418287e-05i,1622.16796875,0.74167516721393
44,-87.9610760373796,41.3518598527186,Az_-90to-80,El_40to50,Az_-90to-80_El_40to50,-88,41,41.0783447726817,-0.00956030563643405-6.1282294982194i,0.311996665428916-4.63224377221655e-05i,1108.2421875,0.738567553269523
45,-81.5370170175185,44.0411807256699,Az_-90to-80,El_40to50,Az_-90to-80_El_40to50,-80,44,44.0534704375118,0.002398630314793-4.98881084942491i,0.314564983275048-6.10946885251373e-05i,657.48046875,0.73603961817826
46,-87.1146986022999,44.255066317171,Az_-90to-80,El_40to50,Az_-90to-80_El_40to50,-87,44,44.1633161415196,0.000462682767984786-4.55731890500893i,0.312105543308247+2.77054556740604e-05i,2515.078125,0.738508673489515
47,-88.4588708369293,43.7174726168011,Az_-90to-80,El_40to50,Az_-90to-80_El_40to50,-88,42,43.3857548311766,0.00137816350397587-5.35170027799476i,0.316020080361459+0.000288688023168802i,1010.625,0.739009623170652
48,-88.5371128210202,43.6532865047867,Az_-90to-80,El_40to50,Az_-90to-80_El_40to50,-88,44,44.1823545511478,0.00137098232398765-5.08699280725979i,0.320539786447967-4.12371306119791e-05i,1553.26171875,0.73948270405932
49,-80.9895351942909,42.9095068611445,Az_-90to-80,El_40to50,Az_-90to-80_El_40to50,-81,43,42.9292881329067,-0.0040294903525625-6.18869499619061i,0.307363576996012-3.4471454777682e-05i,1880.56640625,0.741940511413013
